,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,like,tech
758,US,2410680,RYC13WDV9FOTD,B0045I6IA4,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,5,0,0,N,Y,Happy with pacifiers.,Exactly what we needed and even better that it came in pink and purple for my baby girl!  I could only find all pink or all purple in stores and they were for 3+ months. I got what I needed here. :),10/4/2013,1,0
765,US,2423252,R24W31U23E6YL0,B002HOQOVQ,986016545,kushies on the go wet bag with pacifier pouch,Baby,2,0,0,N,Y,smaller than expected,Not what I excepted. I kept them but I got better made ones at Walmart for cheaper! Too small to really hold a days worth of inserts,6/9/2014,-1,1
774,us,2437898,r29q1odqa396cs,b0025y6742,109968006,thermos foogo vacuum insulated stainless steel 10-ounce food jar,baby,5,1,1,n,n,retain heat well,"this is a compact food jar. however, do note that it does not have the best heat retention capability around. usually pack my boy's lunch in the morning around 9am, and by 2pm, food inside will not be very hot.<br /><br />for better heat retention, i will recommend this..<br /><br />http://www.amazon.com/gp/product/b0017ifsis/ref=as_li_tl?ie=utf8&camp=1789&creative=390957&creativeasin=b0017ifsis&linkcode=as2&tag=justckem-20",8/22/2014,1,1
775,US,2441453,RVO7ZLMSRKWPI,B006G9F8AQ,454116188,"2 pack natursutten bpa free natural rubber pacifier, butterfly shield, orthodontic nipple",Baby,4,0,0,N,Y,baby calls the shots..she didn't like it ...,"Liked that they were toted as healthier but unfortunately baby did not like them. Maybe the butterfly style would have been better however, at their cost I haven't tried them yet.",5/16/2015,-1,1
791,US,2463757,R18J2XTWG4CDFK,B001J28IW0,636260794,Munchkin Bath Dunkers Toy Set,Baby,4,0,1,N,Y,its very nice. Pros,"My 18 months looks forward for his baths, its very nice.<br />Pros: very good for toddlers,<br />cons: It sticks better on the bathtub, instead of wall tile from the bathtub.<br />but although its very good.",2/6/2015,1,0
800,US,2486986,R2RE6O9SCATQAQ,B00BTWEUOK,523549949,"mam feed & soothe bottle & pacifier gift set, unisex, 0+ months, 6-count",Baby,5,8,8,N,Y,These bottles are so much better then the Tommie Tippie everyone kept telling me to ...,These bottles are so much better then the Tommie Tippie everyone kept telling me to get. I feel the nipple on these are closer to nature and she seems to spill a lot less with these. Plus they come completely apart so you can clean them really well.,8/7/2015,1,0
843,us,2639336,r3ra27s4hgee6g,b0043c5xyy,406176387,"bamboobies ultra soft and thin washable nursing pads, wrinkle free, reusable",baby,5,0,0,n,y,"excellent, discrete nursing pads!",bamboobies are much better than those bulky throw-away pads.  thin but very absorbent.  i leak a decent amount and they contained it all.  throw in washing machine in a delicates laundry bag.  definitely recommend.,3/24/2014,1,0
858,us,2687576,rsfd9lc67645f,b00eoml70w,737571023,born free premium glass bottle gift set,baby,5,0,1,n,y,very good and worthful!,i appreciate it! very helpful!i love it! btw glass bottels is much better than other matearial bottles!it's very important! remember it!,4/24/2014,1,0
929,US,2929902,R31PRVBLIVP817,B00AJF7QIK,572944212,wubbanub soft toy and pacifier,Baby,4,0,0,N,Y,My daghter and I both love the wubbanub,"My daghter and I both love the wubbanub. Its great because its easy to find and the little stuffed animal keeps the pacifier in her mouth. After her first wubbanub she disliked all other pacifiers. It would be better if they made the stuffed animal where you change the pacifier. Also one that I purchased had ripped very easily at the leg, but it was a simple fix with needle and thread and its still going strong today.",3/3/2015,1,1
1038,US,3315687,R39BI5QEDI00B0,B001BXREG8,869138578,wubbanub (tm) dragon pacifier!,Baby,5,0,0,N,Y,Love this dragon!,"I probably paid way too much for this wubbanub, but I thought it would be so cute for my little boy - and I was right! The dragon is my favorite of all of his wubbanubs. It looks like the picture, except the wings are actually more blue than purple. (I like blue better, anyway.)",5/15/2014,0,0
1049,US,3383120,RWHVLY6W30QYD,B00067AUNY,957640647,"dexbaby womb sounds bear audio pacifier, brown (discontinued by manufacturer)",Baby,1,1,1,N,N,Unsafe for babies!!!!,"i bought this product thinking my 10 week old son would enjoy it. I set him in the bouncy chair and let the bear sit on his lap with it turned on. I was watching him and realized the fur was covering his hands. It wouldn't come off so I had to actually run his hands under water and I had to scrape his tounge off since he had it all in his mouth from his hands. I would think for the price that he material would be better and not just falling out and everywhere! Seriously though, the fur is a huge choking hazard!!",3/12/2015,-1,1
1099,US,3840466,RAVJ55OJ9XFKB,B000P23CU8,997127233,wubbanub infant pacifier - duck,Baby,5,0,0,N,Y,best wubbanub for our LO!,as good as I expected! our 13mons daughter still needs her wubbanub to fall asleep n we bought it to replace the old ones. this duckie is very cute ; better than her first two wubbanubs which r a pink elephant n a giraffe,6/17/2015,1,0
1129,us,4067312,r29nowwco60ube,b00hk6gwtu,127023813,ju-ju-be be light purse bag,baby,5,3,3,n,y,perfect,"this diaper bag is the perfect transition for a. my other diaper bag that finally bit the dust with a broken zipper and b. it's a convenient size that is small enough but enough room to fit a few cloth diapers, straw sippy cup in front, wipes, wet bag, shoes, extra set of clothes and snacks! also, bonus! it has strap loops on the sides so i just attached the strap from my old bag and ouila! it's a messenger bag. but the straps on the bag itself are a great length as well. i'm very happy with this bag and the price isn't too bad either as it can double for traveling later. :) plus the print is just on point. even better than the picture.",10/15/2014,-1,1
1341,us,5017927,r3346s6h6gqoob,b00cx6eqae,17098486,towelhoodies baby hooded towel for beach and bath,baby,5,0,0,n,n,love these towel hoodies!,i absolutely love these towel hoodies! what is better than a one of a kind and personalized hand made towel hoodie for your little one?! these hoodies are so comfortable and durable- i have washed it and still the quality holds up! i love giving my 1 year old a bath and wrapping her up in these towel hoodies after- it's soft on her skin and is big enough to wrap her up in it! the quality of these hoodies are amazing and they also make an awesome gift! melissa really has found her nitch- i would encourage everyone to buy one of these. it is well worth the money!,8/28/2014,1,1
1383,us,5216170,r1o9efmfvq97j6,b004ksh47k,929569832,bearington bears giggles belly blanket monkey,baby,5,0,0,n,y,giggles belly blanket monkey-- too cute!,i found this this in a card shop but was to pricey. i went on line to find it and much better pricing ordering on line with amazon. i just thought this was the cutest monkey blanket. my daughters theme is all monkeys and this was a perfect gift! just love it!!!<br />angie from san antonio texas,4/20/2013,1,0
1411,us,5312062,r3gwexpax2d8va,b003p6ahek,231778478,"ameda purely yours breast pump reducing flanges bpa free, 22.5 mm - 2 pack",baby,3,0,0,n,y,didn't work well for me.,"i am having a horrible time with breastfeeding and have to pump. i thought getting a smaller size would fit better and be more comfortable, but there was no change (there was no change with a bigger size either)<br /><br />they came quickly, and were exactly as advertised. i can't complain about the product or service.",4/11/2013,1,1
1437,US,5419746,R1R0E4LPEOLPP1,B0045I6IA4,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,5,0,0,N,Y,Great!,"So glad to have cute girly ones for my new baby girl, & these are a little better priced than in the store, which is nice cause I seem to be misplacing them often. Its nice that I can grab more just a click away. Amamzon-Prime is a stay at home moms best friend!",4/16/2014,1,0
1508,US,5816640,R2RFWUAS5ALON1,B000YDFOPE,381226741,philips avent bpa free contemporary freeflow pacifier,Baby,5,0,0,N,Y,Stylish,"Unexpectedly, it looks very stylish, better than other colors for my boy.",10/17/2014,1,0
1511,US,5836928,R3HMVVRHKXSCYL,B0031VLRYI,572944212,wubbanub soft toy and pacifier,Baby,4,0,0,N,Y,Its cute but...,Its cute and great for baby but it can not be sterilized because you can not take the Pacifier off the toy. So it os hard to keep clean and my baby seems to have a harder time keep in this in her mouth cause of the toy attached. She does better with the pacifiers by themselves. Same brand but without the toy,1/22/2014,1,1
1526,US,5897576,R1Q3J106GI2FPM,B002JOPRQC,623667867,pacimals huggable baby pacifier,Baby,5,0,0,N,N,love it,great product and washable  love it and baby loves it as well . Its definitely better than other products out there,4/17/2013,1,0
1596,us,6320660,rgy6zynz5kxce,b001oc5umq,501663952,"regalo easy step walk thru gate, white, fits spaces between 29 and 39 wide",baby,4,0,0,n,y,"fairly easy to install, fairly stable",i didn't like how i had to unscrew the adjustable section so far.  also the banister got in the way so if it was shorter that would have been better for stairs.,4/15/2013,-1,0
1658,US,6622718,R3DMVEIPC0TEPV,B0028H3ACS,380619977,wubbanub tabby kitten pacifier,Baby,4,0,0,N,N,Keep the Pacifier Where it Should Be...,"WubbaNubs are great for newborns and infants. They are weighted so there's a better chance that the pacifier will stay in baby's mouth. Also, as baby gets older, it's so adorable to watch them play with their favorite friend.",3/18/2014,1,0
1682,US,6724169,R3BV0YO1KOTL64,B007GUI0CM,417797815,"philips avent soothie pacifier, 0-3 months, 6 pack",Baby,5,2,3,N,Y,my son loved these,"My son is really attached to his pacifier - these were great. I transitioned him to these from the gumdrop ones they gave us at the hospital. He's outgrowing these now at 4 months, but he is learning to manipulate his pacifier on his own so we give him these to play with. Much better for him to smash the soft rubbery ones into his face than the hard plastic Mam pacifiers he uses now!",5/22/2013,1,0
1688,us,6778083,rxjes299s5vz9,b00ax4yf6i,615863630,"cosco scenera convertible car seat, zahari",baby,5,2,3,n,y,very nice and simple,though this might not be as pillowy as some of the more expensive models i love it its so simple and the cloth is soft and comfortable for my daughter. it is super easy to adjust the straps and to install in the car! would recommend this to any parent on a budget!<br /><br />pros:<br /><br />easy to adjust<br />simple<br />easy to install<br />cheap<br /><br />cons:<br />not very pillowy like better models,2/26/2014,1,0
1715,US,7020795,RTM8YC6YYNJE9,B0028IDXDS,450475749,wubbanub brown monkey pacifier,Baby,4,0,1,N,Y,fast shipping new like said,fast shipping got faster than i thought i would. wish it was a little better on price and almost paid as much for shipping but good product and baby loves it !,7/19/2013,1,0
1738,us,7165992,rg17ijhz258aa,b0017lczeu,227536193,clay hanging keepsake kit,baby,1,3,3,n,y,waste of money,"the kit consists of old dried out clay that cracks as it dries (even though i kept covered with damp paper towel as the kit suggests), a straw to make a hole, a dowel rod &#34;rolling pin&#34;, and a circle cookie cutter that leaves ugly edges.  what a waste of time and money. these were for my one month old baby's feet and hand prints and they came out looking cracked and of poor quality.  don't waste your money. you would have better luck making your own dough mixture.",12/5/2014,1,1
1750,us,7229722,r1yiqseu7sy2ci,b00pwkc32g,488713222,"little one's pillow - toddler pillow, delicate organic cotton, hand-crafted in usa (13 in x 18 in)",baby,4,0,1,n,n,perfect size for my 2 year old,"perfect size for my 2 year old, she loves it and actually slept better when she used this pillow versus other brands, i would definitely buy more.",12/7/2014,1,0
1849,US,7771592,RPM7QU712NY4W,B002VL659G,588916430,"the ummy: bpa-free 100% natural rubber pacifier with round nipple, 6-12 months",Baby,5,1,1,N,Y,We love this product,"We love this product! There is no better binkie than natural rubber! Our daughter actually lost her first one at the store, and her heart was broken. I ordered one online right away, and got it in a couple days. Thank you!",12/14/2014,1,0
1864,US,7876842,R3W3L327SBKMJ9,B003PCYMP4,911821018,wubbanub lamb infant pacifier,Baby,2,0,0,N,N,very small,This is a cute product but I thought it was going to be larger. The animal attached to the pacifier is quite small. I thought it was cute but it always gets knocked out of my daughter's mouth so I end up taking it away from her.<br />Thought I would get a better product for the money,3/11/2013,-1,1
1870,us,7929192,r1fp3t7gwhyfa2,b001oc5una,249629900,"regalo easy step extra tall walk thru gate, white",baby,3,0,1,n,y,regalo easy step extra tall walk thru gate,"i bought the regalo easy step extra tall walk thru gate for our two toddler grandchildren visiting from the uk during the holidays. the 2 1/2 year old was smart and tall enough to open the gate himself. the gate is not real sturdy, as the attachments to the threshold didn't stay well with the tots pushing on it. we didn't want to permanently anchor it since they were only here for 2 months, but with their next visit we will. the walk through space is a bit tight for a larger hipped person. basically, the gate served its purpose. wish i could have given it a better rating, but sometimes you get what you pay for.",6/5/2015,1,0
1886,us,8021906,r1lbb1rddl8r66,b004y4zecc,663258692,cutie pie soft baby blanket sweet cupcakes/cupcake pink,baby,3,0,0,n,y,cutie pie blanket,"cute, soft and cudly but alot smaller than what i thought it would be for the price. i ordered it online because my new grand-daughter's room is \\cupcake themed\\, but after seeing how small this blanket was once i received it, i would have been better off to keep looking for something at target or even walmart because i could have found something much bigger that would have been cheaper in price.",5/24/2013,-1,1
1901,US,8124287,R3CWQVRM78QIP9,B0081ZOWG4,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,5,0,0,N,Y,These are amazing!!,These are amazing!!! They really do smell like vanilla and the scent lasts for a long time. Our daughter uses them at bed time and I feel that she sleeps better thanks to the soothing vanilla scent. We'll be ordering more of these soon! A must have for every mommy that plans on putting baby down with a binky!,8/20/2015,1,1
1903,us,8130751,r1eewf5iruxa8s,b003ixtqoc,98970982,dapper snapper made in usa baby & toddler adjustable belt-pink,baby,5,0,0,n,y,great belt,i recommend this to every one with a baby or toddler.<br />this is better than a regular belt. i love it!,2/26/2014,1,0
1949,us,8424613,r33dtl2fhuc46a,b004vl2vro,972673046,motorola remote wireless video baby monitor withcolor lcd screen,baby,2,0,0,n,y,needs more improvement!!,"battery life really sucks. i do find a dedicated screen are much better than the growing tendency (cameras that connect to your mobile phones/tablets), however it is a shame that the battery life of this device is so small. we literally had to keep it plugged for the night because we are afraid it would not last the night and we would not hear our son cry. definitely needs some improvements. aside from that, the screen size is the best. night vision is also great and the ability to control the camera is also a great addition. very wide angle of adjustments.",2/3/2015,-1,1
1972,US,8606891,RSQYS1ZDSO6F8,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,0,1,N,Y,Happy about the product,"I brought this for my 2 months old. I found out the Giraffe is slightly bigger and heavier than the other WubbaNubs. (3oz, 7 x 1 x 4 inches. You can find the information of each WubbaNubs on the product information / Technical Details). So, it actually stay better compare with the other WubbaNubs. Happy about the product.",5/22/2013,1,1
1979,US,8682929,R21NLGDFTMJFLD,B005G37X4M,379901061,"jj cole pacifier pod, mixed leaf (discontinued by manufacturer)",Baby,5,0,0,N,N,stunning!,This bag looks better in person.  I love that it has an easy velcro closure and it holds up great.,1/25/2013,1,0
2022,us,8972069,r35smm327xioen,b007ckic2o,894940583,"summer infant swaddleme muslin sack, jungle diva (discontinued by manufacturer)",baby,5,0,0,n,y,breathable fabric,what's better than muslin in the summertime?  it breathes and is comfortable for your little one.,9/3/2014,1,0
2035,US,9087062,RCZWVL0M3ZIMU,B0031W38YO,540244704,mary meyer wubbanub pacifier,Baby,5,0,0,N,Y,The king of pacifiers,Worth the extra cost simply because it's so much easier to find now! Our daughter is still too little to hold onto it but I could see her doing so in no time which is another perk as hopefully then it's not falling out 50 times per minute. We also have an active toddler boy so something like that matters to us :) Only thing that could make it better was if it also sang lullabies.,7/15/2014,-1,0
2080,us,9380175,rekcwvbqthith,b001uzhcaa,644860526,"videosecu ip wireless video audio baby monitor day night vision security camera with pan tilt wi-fi for iphone, ipad, android phone or pc remote view cu2",baby,3,2,2,n,y,good camera for day time use ( don't know if ...,"good camera for day time use ( don't know if more expensive camera would work better?)black and white  night time picture is not good, camera is monitoring my driveway , but sound is good",10/25/2014,0,0
2084,US,9408010,RC7DDMHCYWN19,B00I0M8QTW,339747365,"tommee tippee night pacifier, 2 count",Baby,1,0,0,N,Y,Doesn't glow enough,"They barely glow in the dark. Ended up getting the MAM glow in the dark pacifier, much, much better!",2/16/2015,1,1
2151,us,9874642,r12ck2ccfnjorj,b0055ew7do,919948837,"dena quilt, happi tree (discontinued by manufacturer)",baby,5,1,1,n,y,great..,product was as described and maybe even better. received item fast and great packing. would buy again and recommend to others.,2/25/2013,1,0
2180,us,9924175,r3kz65nl81wh6p,b005m4ski8,931180300,dex baby dura bib big mouth (panda),baby,5,1,1,n,y,best bibs!,"i have had three of these bibs and they are great. they last a long time and are easy to clean. these are better than other plastic bibs because of the snaps. you can unsnap it to clean it thoroughly. you can even put them in the wash. they have a lifetime guarantee which i didn't take advantage of yet, but will for the next bib that gets worn. one bib last me about 1 year of dailly use before it was so worn i had to throw it out.",11/17/2012,-1,1
2193,US,9940289,R1MIENWZB086EK,B002VKDQ44,407277980,"2 pack natursutten bpa-free natural rubber pacifier, orthodontic nipple",Baby,5,0,0,N,Y,best paci's,"MY FAVORITE PACIFIERS!!<br />They say on the box all of the benefits, but the natural rubber, easy to clean, easy to sleep for the baby... and no face marks!<br />Extra safe and better for baby than all those plastic ones... love natursutten products!",11/2/2013,1,1
2204,US,9952084,R2RZEKP73Z7NJG,B00B4DD0MC,28435092,"mam air orthodontic pacifier, boy, 6+ months, 2-count",Baby,5,1,1,N,Y,The Best Pacifiers for Breastfed babies,"My son's daycare turned us on to these pacifiers--they are the best! He started using them when he was 4.5 months old. They stay in much better than soothies, and he loves them!",1/22/2014,1,0
2210,us,9965686,r3fywc7qlp6kw3,b00clt3rvc,591374310,stephan baby ultra soft and huggable plush bear and polka dot blanket gift set,baby,3,0,0,n,y,very thin blanket.,"really thin blanket, i was expecting a thicker, more plush quality blanket. found a better option at fred meyer.",2/4/2015,1,0
2241,US,10004875,R1X6R9IC6VLLVG,B00I90HUQ0,935524314,"mary meyer wubbanub plush pacifier, monkey",Baby,2,0,2,N,Y,Two Stars,this was ok but the dark brown monkey is much better,1/27/2015,-1,0
2292,US,10089993,R903AZLTVGKFD,B0027AB7PI,597098491,wubbanub infant plush pacifier ~ brown bear,Baby,2,0,0,N,N,Sometimes works,"First, the Soothie pacifier which is attached to the bear is not as well designed as the Gumdrop pacifier.  The Soothie has a circular disc which smooshes my baby's nose as he sucks on the pacifier, whereas the Gumdrop is designed around the nose.    Second, the Soothie is at an awkward angle because one end is sewn to the bear's mouth.  This would be only good to enable the baby to push the pacifier out if he didn't want it anymore.  But my newborn doesn't have the ability to keep the pacifier in his mouth, which is the whole reason why I bought this product.  I found it actually works better to place the bear UPSIDE DOWN then insert the pacifier into my baby's mouth.  Third, the bear is very light.  I wish it were weighted down with a bean bag of some sort.  My son is big and strong (15 lbs at 2 months) and twists and wriggles in his crib so the bear doesn't stay on his chest.  We no longer swaddle him.  The only time the Wubbanub works is if he's wearing a zippered sleep sac or hoodie so we tuck the bear into his hoodie/ sleep sac so it actually stays in place.",12/1/2011,1,0
2295,US,10090449,R3B8AB0SD5H0NZ,B00793CZAE,572944212,"mary meyer wubbanub plush pacifier, lamb",Baby,5,2,2,N,Y,Great for a baptism gift,"From what I've heard, little guy is enjoying it very much.  Gives him something to hold onto a little better, and it sure was nice as a baptism gift.",10/22/2013,1,0
2303,US,10100939,R38688AAACW119,B0047PAHUW,106521272,wubbanub elephant pacifier,Baby,5,0,0,N,Y,Love it!,"My daughter is 3 months and she loves this! It stays in her mouth much better than just the soothie by itself! You can tuck it under their blanker to keep it in as well. When they turn their head, its less likely to fall out. And its super cute so she cuddles with it!",10/11/2013,1,0
2325,us,10131793,r2syx21j1f50xk,b00av53yie,677039906,"pura kiki stainless sippy bottle stainless steel with xl sipper spout, 11 ounce, 6 months+",baby,4,1,1,n,y,buy it.,"i like the bottle. i was a bit confused as to why the number are backwards on the outside but it made sense when i saw them on the inside...i am able to measure the amount better by being able to see the numbers on the inside. if you dislike plastic bottles like i do, it's worth getting. a bit pricey but overall a good bottle and very cute colors!!!",2/4/2015,1,1
2356,us,10182869,r2bubh4tjqwb86,b006ojixms,332679625,kidco custom fit 24 extension for use with model g3001 & g3100 - black,Baby,5,0,0,N,Y,works as needed,we have a strange stairs that go down in the middle of our living room with a banister and 1/2 wall. No gate would work so we ended up using these gates and extensions to make our living room into a play pen. The baby can roll and crawl without being able to leave the living room. This is working for us better then trying to just gate off the stairs.,5/30/2013,-1,0
2381,us,10225997,rkw6zc5agymwk,b001xuiefo,982150945,wonder mat non-toxic non-recycled extra thick rainbow foam playmat,baby,2,0,3,n,y,"way, way overpriced","seriously, get the cheap ones.  these are a little thicker and fit together better than the cheap ones, but at 1/4 the price, the others serve their purpose.  in addition, my shipment was missing 2 tiles.  these were bright and cheery, but i returned them in favor of two complete sets of slightly thinner tiles from a big box store--and i still paid half the price.",11/25/2012,1,1
2386,US,10232605,R6IJKCB516IPB,B0045I6IAY,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,1,0,0,N,Y,but the cheap basic pacifiers seem to stay in his mouth better and he likes them more,"May be just my child, but the cheap basic pacifiers seem to stay in his mouth better and he likes them more.",4/25/2015,1,0
2396,us,10259173,rgm7noukw5i4f,b00dql6cie,578210015,oxo tot on-the-go wipes dispenser,baby,2,0,0,n,y,does not keep wipes moist,"i can't recommend this product, particularly if you live in an arid environment such as the desert. this does not keep the wipes moist. i have had better results from other travel dispensers. save your money.",5/9/2015,1,1
2441,US,10352654,R3BTQDLHOHGJDW,B009YY4PBI,502209492,pacifier - wubbanub infant plush pacifier - turtle,Baby,5,0,0,N,Y,Good Sleepy Time Pacifier,"We have 3 Wubbanubs and by far this one is my favorite because it is wide and flat so it stays in place better.  Since my little one has issues with sucking, I swaddle him tight and put the Wubbanub under the blanket. If he turns his head, he can turn back and find it again. With our other wubbanubs, they wobble and don't stay in place as well. When he is awake, he does like the dinosaur best because it is thin and easier for him to hold but this one does the trick for sleepy times.",1/3/2015,-1,1
2462,US,10385489,R2DQ2OVQT01ZBV,B00BTWEUOK,523549949,"mam feed & soothe bottle & pacifier gift set, unisex, 0+ months, 6-count",Baby,5,1,1,N,Y,Great Product And Low Cost,The Only bottles my baby will take.. also i could find these for a better price.. at Winco Foods they cost $8.00 Each.. At Burlington Coat Factory they cost $13.00 A Pair.. And Here $18.00 for 4 plus 2 pacifiers best offer,7/27/2015,1,1
2473,US,10403823,R2VZZMLRSGZUVE,B00BIFACT0,955350284,dr. brown's prevent classic pacifier,Baby,5,0,1,N,Y,Great,I purchased several different pacifiers and this type was my daughters favorite and she kept in her mouth much better than other brands that look similar.,2/8/2014,1,0
2527,US,10489582,R276O4OYPBGMTM,B00BIFAER0,955350284,dr. brown's prevent classic pacifier,Baby,5,0,0,N,Y,Good pacifier,"Perfect. A little big for newborns, but at least he can keep it in his mouth better than the rounded ones.",11/19/2014,1,0
2554,us,10541348,r3ngj6oxjixpa0,b00djqorec,254828865,tiny love magical night mobile,baby,5,1,1,n,y,love this mobile,"love this mobile! i was so excited to find this gem on amazon, since it is no longer sold in stores (i didn't find it at least) my daughter had one exactly like this 11 yrs ago, and i was so excited to find it once again for my new little one. this one is even better than i remember! you and your little one will enjoy it :)",9/21/2014,1,0
2564,us,10555958,r1hqmtpm1kr4m2,b001ewetl4,153724923,cloud b twilight constellation night light,baby,5,0,0,n,y,she stays in her toddler bed now!!!,"this ladybug has been a major solution for us!!!  my daughter would not stay in her toddler bed at all until we got her this.  bedtime was a big struggle for us until she got her ladybug.  now she goes to bed with virtually no complaints, and stays in her toddler bed!  i also love that the light is dim to begin with, and then goes out after 45 minutes so she can sleep in total darkness for the rest of the night (better for health and development).  i would highly recommend this product!",2/28/2010,1,1
2577,US,10576032,R31QDD3ZDG18DC,B003PCYMP4,911821018,wubbanub lamb infant pacifier,Baby,5,0,0,N,Y,The Avant Soothie is a great brand pacifier and since it is attached to a ...,If you are a new mom and contemplating what to put on your registry or what to buy.  BUY THIS. I would put this in my top 10 things I use the most as a mom. The Avant Soothie is a great brand pacifier and since it is attached to a stuffed animal you won't lose it and they don't pop out of their mouth as easily since your baby can maneuver the animal easier that it is bigger. This one is better than the elephant we don't like that one cause the trunk makes is longer and makes it harder for baby to manipulate. Seriously best thing ever.,2/21/2015,1,1
2584,US,10585491,R1BEGBCOQJ4U2F,B0081ZOWC8,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,5,1,1,N,Y,Great,Its like a nipple. Obviously he is gonna like it better than the other cheap plastic ones. Doesn't stay in his mouth very well though and you can see them sucking on it through the hole its kinda funny.,10/4/2014,1,0
2598,US,10610068,R3TB60SPYZ7VWM,B0047PAHUW,106521272,wubbanub elephant pacifier,Baby,3,0,0,N,Y,"Decent product, but there are better WubbaNubs...","I don't know what it is about the elephant Wubbanub.  I purchased both this one and the blue and green dinosaur Wubbanub, and for some reason, the dinosaur seems like it is better in every way possible, i.e. better quality materials, better made, cuter, softer, etc.  This is still a good product, but just not as good as some of the wubbanubs out there.  All of my nieces and nephews have used these pacifiers and been extremely attached to them, so it is a good product.  However, with as cute as the elephant is, just be aware that there are better options out there.",2/23/2015,-1,1
